mix_pair_key,flavor_a,flavor_b,lagos_article_count,lagos_row_count,lagos_article_urls,target_flavor,recommended_flavor,directed_pair,source_text
ピーチ||レモン,ピーチ,レモン,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,レモン,ピーチ -> レモン,マンゴー/ココナッツ オレンジ/バナナ/ グアバ/ライチ グレナデン/レモン パッションフルーツ
ピーチ||ローズ,ピーチ,ローズ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ローズ,ピーチ -> ローズ,カルダモン/ジャスミン アールグレイ/ローズ
ブルーベリー||ミルク,ブルーベリー,ミルク,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ミルク,ブルーベリー -> ミルク,バニラ/ミルク キャラメル
ブルーベリー||ミント,ブルーベリー,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ブルーベリー,ミント -> ブルーベリー,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ブルーベリー||ライチ,ブルーベリー,ライチ,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ライチ,ブルーベリー -> ライチ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
ブルーベリー||ラズベリー,ブルーベリー,ラズベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ラズベリー,ブルーベリー -> ラズベリー,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
ブルーベリー||レモン,ブルーベリー,レモン,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,レモン,ブルーベリー -> レモン,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ
ブルーベリー||ローズ,ブルーベリー,ローズ,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ローズ,ブルーベリー -> ローズ,シナモン/カルダモン ジャスミン/ローズ
プラム||ミント,プラム,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,プラム,ミント -> プラム,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
マンゴー||ミルク,マンゴー,ミルク,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,ミルク,マンゴー -> ミルク,バニラ/ミルク
マンゴー||ミント,マンゴー,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,マンゴー,ミント -> マンゴー,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
マンゴー||メロン,マンゴー,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,マンゴー,メロン -> マンゴー,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー
マンゴー||レモン,マンゴー,レモン,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,レモン,マンゴー -> レモン,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ
ミルク||ミント,ミルク,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ミルク,ミント -> ミルク,バニラ/ミルク チョコレート
ミルク||メロン,ミルク,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ミルク,メロン -> ミルク,バニラ/ミルク キャラメル
ミント||ライチ,ミント,ライチ,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ライチ,ミント -> ライチ,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ミント||ライム,ミント,ライム,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ライム,ミント -> ライム,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ミント||ラズベリー,ミント,ラズベリー,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ラズベリー,ミント -> ラズベリー,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ミント||レモン,ミント,レモン,1,1,https://shisha-lagos.com/af-mint-review/,ミント,レモン,ミント -> レモン,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン
ミント||ローズ,ミント,ローズ,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ローズ,ミント -> ローズ,シナモン アールグレイ カルダモン ローズ ジャスミン
メロン||ライチ,メロン,ライチ,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ライチ,メロン -> ライチ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー
メロン||レモン,メロン,レモン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,レモン,メロン -> レモン,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー
メロン||ローズ,メロン,ローズ,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ローズ,メロン -> ローズ,カルダモン シナモン ローズ
