mix_pair_key,flavor_a,flavor_b,valid_row_count,unique_directed_pair_count,directed_pair_values,article_count,article_ids,article_urls,same_article_repeat_count,max_rows_in_single_article,row_index_values,table_row_keys,is_multi_article_pair,is_repeated_mix_pair
マンゴー||メロン,マンゴー,メロン,1,1,メロン -> マンゴー,1,lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,0,1,3:2,lagos_af-melon-review::3::2,False,False
マンゴー||レモン,マンゴー,レモン,1,1,マンゴー -> レモン,1,lagos_af-mango-review,https://shisha-lagos.com/af-mango-review/,0,1,3:2,lagos_af-mango-review::3::2,False,False
ミルク||ミント,ミルク,ミント,1,1,ミント -> ミルク,1,lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,0,1,3:2,lagos_af-mint-review::3::2,False,False
ミルク||メロン,ミルク,メロン,1,1,メロン -> ミルク,1,lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,0,1,3:2,lagos_af-melon-review::3::2,False,False
ミント||ライチ,ミント,ライチ,1,1,ミント -> ライチ,1,lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,0,1,3:2,lagos_af-mint-review::3::2,False,False
ミント||ライム,ミント,ライム,1,1,ミント -> ライム,1,lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,0,1,3:2,lagos_af-mint-review::3::2,False,False
ミント||ラズベリー,ミント,ラズベリー,1,1,ミント -> ラズベリー,1,lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,0,1,3:2,lagos_af-mint-review::3::2,False,False
ミント||レモン,ミント,レモン,1,1,ミント -> レモン,1,lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,0,1,3:2,lagos_af-mint-review::3::2,False,False
ミント||ローズ,ミント,ローズ,1,1,ミント -> ローズ,1,lagos_af-mint-review,https://shisha-lagos.com/af-mint-review/,0,1,3:2,lagos_af-mint-review::3::2,False,False
メロン||ライチ,メロン,ライチ,1,1,メロン -> ライチ,1,lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,0,1,3:2,lagos_af-melon-review::3::2,False,False
メロン||レモン,メロン,レモン,1,1,メロン -> レモン,1,lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,0,1,3:2,lagos_af-melon-review::3::2,False,False
メロン||ローズ,メロン,ローズ,1,1,メロン -> ローズ,1,lagos_af-melon-review,https://shisha-lagos.com/af-melon-review/,0,1,3:2,lagos_af-melon-review::3::2,False,False
