flavor_a,flavor_b,LAGOS出現記事数,LAGOS出現行数,記事URL,target_flavor,recommended_flavor,source_text,辞書登録状況,既存ランキングに存在しない理由の候補,directed_pair,mix_pair_key
ピーチ,ローズ,1,1,https://shisha-lagos.com/af-peach-review/,ピーチ,ローズ,カルダモン/ジャスミン アールグレイ/ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ローズ,ピーチ -> ローズ,ピーチ||ローズ
ブルーベリー,ミルク,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ミルク,バニラ/ミルク キャラメル,registered,共起なし,ブルーベリー -> ミルク,ブルーベリー||ミルク
ブルーベリー,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ブルーベリー,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,共起なし,ミント -> ブルーベリー,ブルーベリー||ミント
ブルーベリー,ライチ,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ライチ,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,registered,共起なし,ブルーベリー -> ライチ,ブルーベリー||ライチ
ブルーベリー,ラズベリー,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ラズベリー,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ラズベリー,ブルーベリー -> ラズベリー,ブルーベリー||ラズベリー
ブルーベリー,レモン,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,レモン,ストロベリー/ザクロ ライチ パッションフルーツ ラズベリー/グアバ レモン/ココナッツ グレープ,registered,共起なし,ブルーベリー -> レモン,ブルーベリー||レモン
ブルーベリー,ローズ,1,1,https://shisha-lagos.com/af-blueberry-review/,ブルーベリー,ローズ,シナモン/カルダモン ジャスミン/ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ローズ,ブルーベリー -> ローズ,ブルーベリー||ローズ
プラム,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,プラム,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,共起なし,ミント -> プラム,プラム||ミント
マンゴー,ミルク,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,ミルク,バニラ/ミルク,registered,共起なし,マンゴー -> ミルク,マンゴー||ミルク
マンゴー,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,マンゴー,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,registered,共起なし,ミント -> マンゴー,マンゴー||ミント
マンゴー,メロン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,マンゴー,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,registered,共起なし,メロン -> マンゴー,マンゴー||メロン
マンゴー,レモン,1,1,https://shisha-lagos.com/af-mango-review/,マンゴー,レモン,ピーチ/グアバ レモン/オレンジ ゆず/グレープ パッションフルーツ パイン/ココナッツ,registered,共起なし,マンゴー -> レモン,マンゴー||レモン
ミルク,ミント,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ミルク,バニラ/ミルク チョコレート,registered,共起なし,ミント -> ミルク,ミルク||ミント
ミント,ラズベリー,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ラズベリー,レモン/ライム/オレンジ グレープフルーツ/ゆず グアバ/マンゴー/ピーチ ブルーベリー/ラズベリー ライチ/キウイ/プラム パッションフルーツ パイン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ラズベリー,ミント -> ラズベリー,ミント||ラズベリー
ミント,ローズ,1,1,https://shisha-lagos.com/af-mint-review/,ミント,ローズ,シナモン アールグレイ カルダモン ローズ ジャスミン,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ローズ,ミント -> ローズ,ミント||ローズ
メロン,ライチ,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ライチ,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,registered,共起なし,メロン -> ライチ,メロン||ライチ
メロン,レモン,1,1,https://shisha-lagos.com/af-melon-review/,メロン,レモン,スイカ/グアバ オレンジ/レモン ピーチ/ココナッツ ライチ/マンゴー,registered,共起なし,メロン -> レモン,メロン||レモン
メロン,ローズ,1,1,https://shisha-lagos.com/af-melon-review/,メロン,ローズ,カルダモン シナモン ローズ,片方または両方が既存コーパス未出現,既存コーパスで出現なし:ローズ,メロン -> ローズ,メロン||ローズ
